id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,basin,region,lga,ward,population,public_meeting,scheme_management,permit,construction_year,extraction_type_group,extraction_type_class,management_group,payment_type,quality_group,quantity,source,source_class,waterpoint_type
3851,0.0,282,628,1634.0,309,35.61489235,-4.22722788,0,8,2,3,960.0,1,6,1,1994.0,5,1,4,2,2,1,7,0,4
23411,0.0,112,520,0.0,604,31.56482702,-1.84536107,4,4,81,28,0.0,1,6,1,2000.0,5,1,4,2,2,1,7,0,4
3418,0.0,292,1466,1335.0,446,36.61703073,-5.26301886,0,8,41,1620,1.0,1,6,1,2011.0,10,5,4,2,4,0,3,0,2
42352,0.0,21,246,322.0,332,38.79296838,-7.2698597,8,14,39,1338,1200.0,1,6,0,2006.0,5,1,4,2,2,1,3,0,4
16447,0.0,264,874,2401.0,964,35.68896081,-3.09093416,0,0,90,1502,210.0,1,6,1,2011.0,1,0,4,2,2,1,6,1,1
74066,0.0,204,1271,0.0,1316,32.97398113,-4.88799647,3,19,123,1989,0.0,1,6,1,2000.0,5,1,4,2,3,2,7,0,4
7833,600.0,193,541,1214.0,827,34.0865708,-1.11325161,4,9,117,1918,300.0,2,3,0,1985.0,10,5,4,1,2,1,2,1,1
24879,0.0,24,609,-11.0,644,39.37550878,-7.08405662,8,14,69,2032,740.0,1,8,0,2007.0,5,1,4,2,2,0,3,0,4
32737,0.0,313,364,1658.0,309,37.52496365,-3.26149081,5,6,73,1060,1.0,0,6,1,1972.0,1,0,4,2,2,1,8,0,6
14402,0.0,309,364,1557.0,309,36.69679114,-3.10254646,0,0,0,1730,150.0,1,6,1,1960.0,1,0,4,2,1,1,8,0,0
60260,0.0,307,364,1065.0,309,36.79941462,-3.45533224,5,0,0,1273,150.0,1,6,1,1988.0,1,0,4,2,2,1,8,0,6
3879,0.0,264,21,1236.0,58,36.84153937,-3.34666143,5,0,65,1628,98.0,1,6,1,1999.0,1,0,4,6,2,2,8,0,1
19419,0.0,45,236,485.0,292,36.92107906,-6.95862411,8,11,36,2060,150.0,2,11,1,1983.0,10,5,3,2,2,1,3,0,1
17724,0.0,298,574,910.0,684,37.62242199,-3.36977005,5,6,95,1034,1.0,1,0,1,2003.0,1,0,0,1,2,2,8,0,1
35907,0.0,266,495,1270.0,1366,30.50400233,-3.59201459,3,5,30,932,400.0,1,6,0,2009.0,5,1,4,6,2,3,7,0,4
45546,0.0,267,1354,1361.0,1365,30.5943846,-3.74594254,3,5,30,104,500.0,1,6,0,2003.0,1,0,4,6,5,1,6,1,1
64025,30.0,266,315,414.0,397,39.39680884,-10.62951168,7,12,88,1328,420.0,1,6,0,1988.0,10,5,4,5,2,1,3,0,1
72978,0.0,126,1403,0.0,1492,32.18374732,-2.36275392,4,13,101,98,0.0,1,6,0,2000.0,6,3,4,2,2,0,7,0,4
18239,0.0,140,1088,1778.0,309,31.73937167,-8.53132029,2,15,112,560,500.0,1,6,0,1990.0,5,1,4,2,2,1,7,0,4
45468,50.0,46,995,-15.0,318,38.69272663,-6.68675463,8,14,3,2029,25.0,0,0,1,2009.0,10,5,0,5,2,1,6,1,1
34777,0.0,179,1466,0.0,1045,33.96304277,-4.15578551,0,19,19,1150,0.0,1,10,1,2000.0,1,0,4,5,2,1,0,1,2
36091,0.0,250,364,1568.0,418,34.82768584,-4.82453261,0,18,109,1987,132.0,1,8,1,1994.0,5,1,4,2,2,1,7,0,4
66667,2200.0,26,209,1717.0,268,35.37974396,-7.95993591,6,3,24,935,630.0,1,6,1,1983.0,1,0,4,0,2,1,8,0,1
33762,0.0,257,246,406.0,336,39.00248705,-10.25091739,7,7,97,1283,185.0,2,11,1,1974.0,1,0,3,6,5,4,8,0,1
65587,0.0,262,364,28.0,309,39.18022344,-8.525554099999999,7,7,37,1212,280.0,1,11,1,1985.0,6,3,4,2,2,1,7,0,6
54822,2000.0,47,238,122.0,309,37.85578922,-7.20475819,8,11,71,1426,200.0,1,6,1,1996.0,6,3,4,1,4,2,7,0,6
69668,0.0,142,414,0.0,499,0.0,-2e-08,4,13,15,165,0.0,1,6,1,2000.0,5,1,4,2,2,2,7,0,4
17450,100.0,192,1108,1372.0,309,34.24459223,-2.97641465,4,17,5,1189,500.0,1,8,0,2005.0,5,1,4,3,2,1,7,0,4
7871,5.0,307,348,833.0,153,37.28544718,-3.36663041,5,6,16,940,40.0,1,9,1,1999.0,1,0,4,5,2,1,8,0,1
22879,0.0,51,995,0.0,443,36.28363462,-6.644348,6,2,76,2049,0.0,1,6,1,2000.0,6,3,4,2,2,1,8,0,5
20281,200.0,78,1028,1594.0,1103,35.19980326,-9.21711684,6,3,91,910,150.0,1,6,1,1999.0,1,0,4,1,2,2,8,0,1
67882,20.0,306,364,1025.0,309,36.80329469,-3.47600769,5,0,0,1571,100.0,1,6,1,2000.0,1,0,4,5,2,2,8,0,1
7901,0.0,78,1262,0.0,309,32.94680043,-9.15819067,2,10,62,404,0.0,1,6,1,2000.0,1,0,4,2,2,3,8,0,6
34487,0.0,38,883,331.0,1129,37.68081208,-6.16432748,8,11,83,1370,30.0,1,6,1,1982.0,6,3,4,2,2,1,7,0,6
22013,0.0,46,1433,0.0,1549,35.72699096,-5.53619536,0,2,11,271,0.0,1,6,1,2000.0,4,2,4,5,4,2,3,0,2
33299,0.0,307,451,1456.0,522,36.77390997,-3.34602186,5,0,65,1,142.0,2,11,1,1970.0,1,0,3,6,5,4,8,0,2
21607,6500.0,274,250,1813.0,338,35.35831718,-4.47763723,0,8,17,1303,300.0,1,2,1,2003.0,1,0,2,0,2,1,8,0,1
42733,0.0,36,364,495.0,1129,37.56776372,-6.90224954,8,11,83,1498,1.0,1,6,1,1982.0,1,0,4,2,2,1,6,1,1
53093,0.0,66,364,0.0,446,33.25480488,-8.13075994,2,10,13,1026,0.0,1,6,1,2000.0,2,1,4,5,2,1,7,0,4
38017,100.0,305,246,2016.0,335,35.48647774,-1.89093952,4,0,90,1890,125.0,1,6,1,1972.0,4,2,4,5,2,1,3,0,1
15526,0.0,194,364,1494.0,446,33.96409538,-1.76451097,4,9,82,119,350.0,0,6,1,1974.0,1,0,4,2,2,1,2,1,5
67829,0.0,257,335,357.0,383,39.01320849,-10.77289664,7,12,57,1545,1.0,1,6,1,1980.0,6,3,4,6,2,0,7,0,6
66473,0.0,106,52,0.0,309,0.0,-2e-08,4,17,5,1475,0.0,1,8,0,2000.0,5,1,4,2,2,1,7,0,4
64483,0.0,144,414,0.0,309,33.70373381,-2.72851501,4,13,54,1637,0.0,1,11,1,2000.0,5,1,4,2,2,1,7,0,4
48301,0.0,114,364,1267.0,1129,33.00176471,-2.04022293,4,13,120,1402,250.0,1,6,1,1982.0,6,3,4,2,2,2,2,1,1
