id,status_group
3851,functional
23411,non functional
3418,non functional
42352,non functional
16447,functional
74066,functional
7833,non functional
24879,non functional
32737,non functional
14402,functional
60260,non functional
3879,non functional
19419,non functional
17724,functional
35907,functional
45546,functional
64025,functional
72978,non functional
18239,functional
45468,functional
34777,non functional
36091,functional
66667,functional
33762,non functional
65587,non functional
54822,non functional
69668,functional
17450,functional needs repair
7871,functional
22879,functional
20281,functional
67882,non functional
7901,functional
34487,non functional
22013,functional
33299,functional
21607,functional
42733,non functional
53093,functional needs repair
38017,functional
15526,non functional
67829,non functional
66473,functional
64483,functional needs repair
48301,non functional
63835,functional
61526,non functional
32712,functional
35198,functional
43166,non functional
1659,functional
4288,non functional
54898,functional
9152,functional
49993,non functional
33258,functional
22531,non functional
43605,non functional
4259,functional
10000,non functional
40523,functional
8444,functional
51918,functional
47252,non functional
47927,non functional
68451,functional
34230,non functional
66768,functional
52740,functional needs repair
25374,functional
22724,functional
70290,non functional
42954,functional
67443,functional needs repair
12714,non functional
59101,non functional
3436,non functional
1091,non functional
61595,functional
37200,functional
55634,functional
7076,functional
58463,functional
54812,non functional
28291,non functional
12942,functional
4368,functional
22281,functional
3902,functional needs repair
11699,functional
58801,functional
62390,functional needs repair
60434,functional needs repair
18814,non functional
21421,functional
70860,non functional
50625,functional
34030,functional
18331,functional needs repair
31069,non functional
61477,functional
73898,functional needs repair
48825,non functional
33828,non functional
540,non functional
40508,functional needs repair
11683,functional
37886,non functional
32915,functional
31800,functional
29723,functional
32888,functional
51009,non functional
34657,non functional
48722,functional needs repair
22560,functional
879,non functional
2417,functional
53942,functional needs repair
68592,functional
29263,non functional
3228,functional
9874,functional
38751,non functional
20216,functional
9286,non functional
73372,functional needs repair
38479,functional
40014,functional
10264,functional
41140,functional
14123,functional needs repair
16772,non functional
73769,functional needs repair
61093,functional
9006,functional
903,non functional
12354,non functional
30550,functional
71163,functional
26626,functional
55814,non functional
4795,non functional
55101,functional
36776,non functional
4720,non functional
2592,functional
14139,non functional
46703,non functional
40846,functional
18,functional
25510,functional needs repair
33522,non functional
72036,non functional
5049,functional needs repair
41187,non functional
31907,functional
27521,functional
61019,functional
72954,functional
46714,non functional
36519,functional needs repair
8457,functional
1229,functional
33999,functional needs repair
72404,non functional
54299,functional
66305,functional
20426,non functional
5342,non functional
39095,non functional
5233,functional
3437,non functional
8967,non functional
7168,functional
51066,functional
61288,functional
73814,non functional
46678,non functional
49534,non functional
66638,non functional
11802,functional
32622,functional needs repair
38536,functional
13050,non functional
9804,functional needs repair
19281,functional
9193,functional
58858,functional
27312,non functional
45940,non functional
47064,functional
27325,functional
13034,non functional
44987,non functional
19212,functional
39642,non functional
43227,non functional
45714,non functional
56299,non functional
40767,functional
17730,functional
2350,functional
68702,functional needs repair
8522,functional needs repair
16668,non functional
73115,non functional
33682,non functional
62416,non functional
17599,functional
12299,functional
72468,functional
18432,functional
38813,functional
11490,non functional
20843,functional
8674,functional
4647,functional
10336,functional
63854,non functional
43288,functional
16995,non functional
26420,functional
29387,non functional
17530,functional
38873,functional
24018,non functional
5100,functional
18452,non functional
36379,non functional
51622,functional
63860,functional
42534,functional
27590,functional
18072,non functional
15873,functional
24520,functional
1848,functional
51669,functional
41274,non functional
59829,functional
27891,functional
20903,functional
456,functional
68646,non functional
67010,functional
21344,non functional
9226,functional
1107,functional
12389,functional
55902,functional
68828,non functional
65282,functional needs repair
18086,functional needs repair
52741,non functional
44058,functional
12004,non functional
30897,non functional
51740,non functional
310,non functional
23115,functional
32870,functional needs repair
68220,non functional
60879,functional needs repair
10690,functional
